StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Ethics,Source1,Source2,Source3,Source4,Source5,Count of Responses,Common_decision,mandates,use_tools,approved_tools,tools_description,autonomy,collaborative_within,collaborative_outside,longterm,shortterm,outside_org,within_org,often_env,often_evidence,often_teammates,often_leaders,often_elected,often_stakeholders,often_funding,impact_env,impact_evidence,impact_teammates,impact_leaders,impact_elected,impact_stakeholders,impact_funding,reduce_uncertainty,organization,org_other,duration,formal_training,training_desc,location,location_other,notes,Unique ID
44916.67,44916.68,IP Address,100,902,TRUE,44916.68,R_2qERk3C3BWPLOIQ,anonymous,EN,Yes,"Incomplete understanding of past, current and future fish population and habitat characteristics",Uncertainty in how stakeholders will respond to management options,Uncertainty in how politicians will respond to management options,,,3,"What management actions should be taken to recover fish populations. How to monitor fish populations. How to prioritize recovery efforts based on science, economics and social considerations. When do we need to monitor fish populations. What are the most important research gaps that need to be filled to support at-risk fish recovery. How do we determine population status. Level and format of stakeholder engagement on provincial and local level management actions.","Species at Risk Act, Wildlife Act, Alberta Fish Conservation and Management Policy, Species Recovery Plans",Yes,Yes,"Cumulative effects models, risk matrices",3,Most of the time,Sometimes,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Most of the time,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,"Higher level of commitment to properly designed, long-term monitoring programs following actions, with follow-up on results and what was learned in a true adaptive management framework.",Canadian provincial or territorial government agency,,over 10 years,Yes,Graduate degree including statistical modelling of uncertainty. On-the-job training of translating uncertainty to risk to communicate to non-science leaders.,Alberta,,,27028
44916.79,44916.81,IP Address,100,1900,TRUE,44916.81,R_3Ljwl7UXh9oDnqH,anonymous,EN,Yes,political willingness to support the decisions,public acceptance of the decisions,funding available to act on decisions,enough research available to inform decision,,4,"1) Mostly human-wildlife conflicts and hunting regulations. These decisions are often precedent-setting and ultimately become policy. Public acceptance is typically low (hence the need for policy) and political support uncertain.
 
 2) Siting industrial activity outside protected areas (e.g., critical habitat, ecologically sensitive areas). Also becomes policy because private interests and other agencies may not support decisions, political uncertainty ensues.
 
 3) Directing conservation actions to the most appropriate areas of my region. These are more collaborative, public acceptance is pretty high, not a lot of political interest.","provincial mandate, federal and provincial species at risk acts, migratory birds act, provincial wildlife act and regulations, and various internal policies",Yes,Yes,"Mostly ArcGIS and [R] Statistics to model habitat selection, identify biodiversity hotspots, and map protected areas. Not sure if this is a 'decision-support tool', but I rely on it to make decisions about 'where' things should happen and where they shouldn't.",4,Most of the time,Sometimes,About half the time,Sometimes,About half the time,Sometimes,Sometimes,Sometimes,About half the time,Most of the time,Always,Most of the time,Most of the time,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,"Little to no influence of current political powers and public opinion, MORE FUNDING, ecology classes in grades 5-8",Canadian provincial or territorial government agency,,1 - 2 years,No,,Saskatchewan,,Thank you for the opportunity to participate in your study!,70460
44918.34,44918.36,IP Address,100,1933,TRUE,44918.36,R_O74lHXwJteS2yzL,anonymous,EN,Yes,Environmental protection issues related to government lack of communication,"principles of equity, inclusion",In-kind operational support,Environmental justice,Loss of volunteers during COVID,5,"The project work involves volunteers including members of both initiating organizations, and those with expertise in actions that bring people together to work on projects such as riparian restoration, noxious weed removal, and education about activities that harm the ecosystem which we can provide for activities with the Stewards.","25 years of contributions to Boreal Forest and Athabasca River Watershed citizen science, ecological protection and land trust conservation work, the Crooked Creek Conservancy is undergoing a membership renewal and rebuilding and relearning process. A mandate we use for the organization is free open source data from our citizens science outreach activities.",Yes,Yes,goals of the JUST Program are simple yet profound: 1. to elevate the discussion around social justice concerns in all organizations. M.A.P.S. Alberta Capital Region Demographic and Resource maps https://mapsab.ca/demographic-resource-maps/,4,Most of the time,Most of the time,About half the time,About half the time,Always,Sometimes,About half the time,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Strongly agree,Agree,Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Impact evaluation would reduce the degree of uncertainty and assesses program effectiveness in achieving its ultimate goals. Process Evaluation determines whether program activities have been implemented as intended.,"Non-government agency (e.g., Nature Conservancy Canada, Ducks Unlimited Canada)",,3 - 5 years,Yes,Masters of Arts in Community Engagement,Alberta,,I understand the uncertainties maybe impacted by whether we also feel we would have an impact on climate change action and I do feel that a major concern or factor of uncertainty also includes feelings of being isolated by the mainstream industry who are the drivers for many of these issues such as oil and gas companies. In regards to uncertainty with our government’s response I feel the systems for our national adaptation strategy have to be implemented sooner than later and that incentive to have nature assets a part of the bio economy.,42990
44907.49,44907.49,IP Address,14,55,FALSE,44921.49,R_2CNSANOlll0Oees,anonymous,EN,Yes,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39549
44907.55,44907.56,IP Address,18,271,FALSE,44921.56,R_3RdCoZdrSuuzahz,anonymous,EN,Yes,annual variation,regional variation,regional coverage of information,reliability of measurements,future validity of current observations,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61006
44907.56,44907.56,IP Address,14,111,FALSE,44921.56,R_3O9p0xyaGYVQ2al,anonymous,EN,Yes,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99014
44907.56,44907.56,IP Address,5,17,FALSE,44921.56,R_2TT98JMPT90xrVn,anonymous,EN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44907.56,44907.56,IP Address,14,24,FALSE,44921.56,R_2XgQM71ku4l9YKr,anonymous,EN,Yes,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20829
44907.59,44907.59,IP Address,5,3,FALSE,44921.59,R_1KqFXPlHKcix8tD,anonymous,EN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44907.59,44907.6,IP Address,18,115,FALSE,44921.6,R_TuUC8K3syQ8QbHb,anonymous,EN,Yes,current government,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53033
44907.59,44907.6,IP Address,5,441,FALSE,44921.6,R_1K8WHA53ZDpkhXY,anonymous,EN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44907.61,44907.61,IP Address,14,31,FALSE,44921.61,R_02oFYRkepHwQ5pv,anonymous,EN,Yes,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29984
44907.61,44907.62,IP Address,18,172,FALSE,44921.62,R_2OOa9dMeIguBd6W,anonymous,EN,Yes,Political will,Community division,Appropriate organization to undertake the work,Funding,Regulatory uncertainty,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22730
44907.66,44907.66,IP Address,14,23,FALSE,44921.66,R_1mQtsu2zaMHA2aa,anonymous,EN,Yes,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99269
44907.81,44907.81,IP Address,14,259,FALSE,44921.81,R_UuAw8A7v7pw08Cd,anonymous,EN,Yes,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77736
44907.95,44907.95,IP Address,14,35,FALSE,44921.95,R_2TRwTpGlxaegGAo,anonymous,EN,Yes,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25576
44907.99,44907.99,IP Address,14,20,FALSE,44921.99,R_3s1yRnWFxY3XUvZ,anonymous,EN,Yes,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79542
44908.42,44908.42,IP Address,14,21,FALSE,44922.42,R_3HoFlLjb2JnZDut,anonymous,EN,Yes,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81654
44908.55,44908.55,IP Address,18,100,FALSE,44922.55,R_urA344rQOzAWcUN,anonymous,EN,Yes,Political decision making,External lobbying,Competing priorities,Strength of science,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63398
44908.66,44908.67,IP Address,18,658,FALSE,44922.67,R_8vx3uBg7nT4Rduh,anonymous,EN,Yes,"Soil health (impact of earthworms, invasives, humans)",Best species to combat invasives,Mycorrhizal fungi -- is it worth it?,"Species companionship -- which plants, including trees, do well with others",Native species; we know what's historically been in our areas and what should be here,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71968
44909.24,44909.24,IP Address,5,85,FALSE,44923.24,R_0UoXxJWoQsWuHDP,anonymous,EN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44909.28,44909.29,IP Address,68,1156,FALSE,44923.29,R_22y8lJ31FYONpR4,anonymous,EN,Yes,assessing threats to species,conservation status,model,,,3,what recovery actions to prioritse,SARA,Yes,,CCVA,1,Never,Sometimes,Most of the time,Always,Always,Always,Always,Most of the time,Sometimes,Most of the time,Always,Always,Most of the time,Agree,Agree,Agree,Agree,Agree,Agree,Agree,new information,,,,,,,,,68906
44909.35,44909.35,IP Address,14,41,FALSE,44923.35,R_8nQelLFMb6TauAN,anonymous,EN,Yes,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31220
44909.44,44909.45,IP Address,18,174,FALSE,44923.45,R_1DCfFqJAB0b6t43,anonymous,EN,Yes,Changing regulations,scope of impacts,cumulative impacts,risk assessment,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37544
44923.44,44923.45,IP Address,100,595,TRUE,44923.45,R_oZXWgqvwqyPhOfL,anonymous,EN,Yes,Political willingness and subsequent mandates needed from provincial government,Interest and process definition from First Nation governments to proceed on a conservation initiative.,Funding for proper and thorough data collection and analysis.,Information can be readily obtained,,4,Developing and seeing through government-to-government land use planning processes that explore new protected areas.,"I seek and obtain political mandates, ensure the planning processes are thorough, and that new proposed protected areas are able to be established.",Yes,,"Mandates, policies, procedural standards, socio-economic analysis",3,Most of the time,Most of the time,About half the time,Sometimes,About half the time,About half the time,Most of the time,Sometimes,About half the time,About half the time,Most of the time,About half the time,Most of the time,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Longer term land use vision, policies that are more science based and broader than political timelines",Canadian provincial or territorial government agency,,over 10 years,No,,British Columbia,,,96064
44909.53,44909.53,IP Address,14,431,FALSE,44923.53,R_3dZi7M7V2KVXXWC,anonymous,EN,Yes,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14769
44909.59,44909.59,IP Address,14,19,FALSE,44923.59,R_3GBxf2oarApKUyu,anonymous,EN,Yes,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75643
44909.94,44909.94,IP Address,14,19,FALSE,44923.94,R_22VzYSJq00xaR9z,anonymous,EN,Yes,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31852
44910.11,44910.11,IP Address,41,72,FALSE,44924.11,R_1CmgTCf2AYV4KTk,anonymous,EN,Yes,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31282
44910.16,44910.16,IP Address,14,17,FALSE,44924.16,R_Uh9FWDeKsHWBZD3,anonymous,EN,Yes,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65770
44924.27,44924.28,IP Address,100,982,TRUE,44924.28,R_1PdBw8kABvi7KOY,anonymous,EN,Yes,Political,Financial,,,,2,Mitigation methods for new development,Conservation Authorities Act; the Planning Act; Provincial Policy Statement; The Growth Plan; local conservation authority policy including any guideline documents (for example - tree offsetting guidelines).,Yes,Yes,Guideline documents; discussions with my direct manager.,3,Sometimes,Never,Never,Sometimes,Sometimes,Never,Never,Never,Never,Sometimes,Most of the time,Never,Never,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Politicians (municipal councillors and our premier) should stay out of the decision making process. They often don’t know what they are talking about and in some situations have disregarded the recommendations of technical staff.,Conservation authority,,1 - 2 years,No,,Ontario,,,83586
44910.32,44910.32,IP Address,5,13,FALSE,44924.32,R_Ajmz5tbTKXo2qoV,anonymous,EN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44910.33,44910.33,IP Address,14,42,FALSE,44924.33,R_3HLaCXRZAq8B70g,anonymous,EN,Yes,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28914
44910.4,44910.4,IP Address,14,26,FALSE,44924.4,R_3dG5LX04E3jNOsd,anonymous,EN,Yes,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82561
44910.5,44910.51,IP Address,18,583,FALSE,44924.51,R_2bUKfQJCeGmX6al,anonymous,EN,Yes,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13994
44924.56,44924.58,IP Address,100,1458,TRUE,44924.58,R_x5VX2v3gMQi8MCJ,anonymous,EN,Yes,support and follow-through from senior management to defend and implement actions resulting from decisions,setting legal or policy precedence in areas of shared or complex jurisdictional authorities,gaining community/public support,peer-reviewed scientific evidence,,4,Science and policy to inform protected areas planning,Fisheries Act (s. 35.2) - Ecologically Significant Areas,Yes,Yes,"spatial databases, habitat suitability & connectivity models, climate change risk models, cost-benefit analyses,",2,Sometimes,Most of the time,Always,Always,Always,Always,Most of the time,Most of the time,Most of the time,Always,Always,Most of the time,Always,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"having a consistent political agenda and willingness to implement conservation initiatives, with a consistent stream of funding.",Canadian federal government agency,,1 - 2 years,Yes,BSc in Environmental Science; Master of Resource & Environmental Management; Interdisciplinary PhD Student (studying forestry/freshwater research associated with current natural resource management policy),"British Columbia,Nova Scotia",,best of luck with your research!! :),46428
44910.6,44910.6,IP Address,14,63,FALSE,44924.6,R_1GDs8TjCS3VpFaT,anonymous,EN,Yes,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37435
44910.61,44910.61,IP Address,14,117,FALSE,44924.61,R_0j1SN5m3V5FZNoB,anonymous,EN,Yes,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85139
44924.63,44924.64,IP Address,100,1065,TRUE,44924.64,R_Y0kg94WUmYZgGLD,anonymous,EN,Yes,Policy scope missing the scientifically relevant parameters in the assessment entirely,Project scope missing the budget or timelines to allow for monitoring resolution of relevant parameters,Project team rejecting prescribed mitigation and enhancement for identified impacts,Regulators failing to apply the rules that apply teeth to prescribed mitigation and enhancement (regulators stop caring once approval is given and especially fees are paid glorified collection agencies with stall tactics on the front end very little science),"Government change or next maintenance cycle within tree lifetime and restoration timescale destroying identified ""must protects"" and tangentially changing restoration and enhancement strategy away from targets before tipping points are crossed and stable states are met so we're just burning money talking about giving a shit. assessments and objectives need to be put on a google map where people can see without thinking because even a database is inaccessible to those too lazy to query and scope that doesn't make us use existing data or apply adaptive management to iterative jobs and mitigation/restoration effort (dumbasses in charge)",5,"kingston waterfront, highway design 401 through the haldimand tracts with 6 nations, MTO cut them out and undermined the whole thing. project placement, enhancement design, contractor advising. design build. big big jobs",ISA code of ethics mostly because that's the only thing that says i won't break the law and consultants are sleazebags all counting on SNC lavalin bailouts for deplorably shitty designs.,Yes,No,Great Law,5,Never,Always,Most of the time,Most of the time,Most of the time,Most of the time,Never,Sometimes,Most of the time,Most of the time,Always,Always,Most of the time,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,universities including industry-relevant application for knowledge for literacy in the workplace. the people that can think dont speak the language and the people talking are the ones Trudeaus Harpers Fords and money haven't muzzled yet.,Other,All of the above. I'm Will Barbour I'm the best and you should call me for some damn good stories.,over 10 years,Yes,"MSc cumulative effects ecotoxicology and 9 years consulting with most of the commonly used certifications in ontario.. OWES, ELC, ISA, BHA, CAN CISEC, RAQS etc.","Alberta,British Columbia,Manitoba,Ontario",,Part 2 of the rome statute has a lot to say about the brownfields we neglect on indigenous nations land. please send some science to industry.,31167
44910.71,44910.72,IP Address,14,452,FALSE,44924.72,R_3JabdLHkHr6DcxT,anonymous,EN,Yes,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68944
44910.82,44910.82,IP Address,55,201,FALSE,44924.82,R_2Ehl3Lq0XGaL5QK,anonymous,EN,Yes,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50475
44911.31,44911.31,IP Address,14,39,FALSE,44925.31,R_2dH1plvxm6zSvtm,anonymous,EN,Yes,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19897
44925.41,44925.42,IP Address,100,518,TRUE,44925.42,R_BVyBnRdBJQ0wfND,anonymous,EN,Yes,Uncertainty in the amount of impact that human activities are causing the natural environment,"Uncertainty in the effectiveness in management actions to avoid, mitigate or compensate for impacts of human activities",Uncertainty in the state of natural ecosystems and populations,,,3,"Decisions around authorizing impacts to fish and fish habitat,","The Fisheries Act, The Impact Assessment Act, DFO's Policy on Fish and Fish Habitat,",Yes,Yes,Models of equivalency for offsetting,2,Most of the time,Sometimes,Always,Always,Always,Always,Always,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,more research on the effectiveness of conservation interventions / management actions,Canadian federal government agency,,3 - 5 years,Yes,Training and research in biostatistics including various forms of statistical uncertainty,Ontario,,,92499
44911.26,44911.45,IP Address,45,16191,FALSE,44925.45,R_BGo9wSBINFWfSi5,anonymous,EN,Yes,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34896
44911.45,44911.46,IP Address,14,801,FALSE,44925.46,R_1M0YV3p5XGZzFnw,anonymous,EN,Yes,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45992
44911.77,44911.77,IP Address,14,56,FALSE,44925.77,R_3QEt5CIlvLJnVD6,anonymous,EN,Yes,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28223
44926.59,44926.6,IP Address,100,390,TRUE,44926.6,R_3P6S77hgcxEDGlf,anonymous,EN,Yes,Personal scope of knowledge,"Gaps in data, lack of Peer review literature",social/Political implications of decision,,,3,"Water management decisions, water quality improvements. Fish habitat protection or enhancement","Organization mandate, BC water sustainability Act, personal beliefs",No,,,4,About half the time,Sometimes,Always,Most of the time,Most of the time,About half the time,Always,Sometimes,About half the time,About half the time,About half the time,About half the time,About half the time,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Accessibility of good quality long term datasets. A decision framework (would need to be developed). More cross sector data sharing and communication,"Non-government agency (e.g., Nature Conservancy Canada, Ducks Unlimited Canada)",,3 - 5 years,No,,British Columbia,,,12460
44926.65,44926.66,IP Address,100,1483,TRUE,44926.66,R_2di12ANNjaBgtq2,anonymous,EN,Yes,Authority. which layer of government is most responsible and has most authority to achieve conservation,Funding. which mechanisims are funding incentives for private land owners to achieve land conservation,"Politicla reconciliation versus natural needs.. how can little remaining old growth, resource and reforested lands be provided for recociliation with first nations without set asides for conservation?",,conservation value factors. not all land can be restored and then become worthy of conservation.,4,priority for scarce funding. conservation versus recreation in nature. buffer required for protection from access.,preservation of wildlife corridors. preservation of wetlands and contiguous parcels. tradeoffs of development for set asides. recreation verusus conservation for biodiveristy amd proetection.,No,,,1,About half the time,About half the time,Always,Sometimes,Always,Most of the time,Sometimes,Never,Always,Most of the time,Always,Most of the time,Always,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,collaboration between science and political with a prescription for priority aquisitions,Canadian provincial or territorial government agency,,3 - 5 years,Yes,"business degree, project management certification, governmental studies",British Columbia,,conservation road maps for each level of government dispelling authority and funding severly lacking in canada,94815
44927.26,44927.27,IP Address,100,1058,TRUE,44927.27,R_1iqa3aBGjSW0lL2,anonymous,EN,Yes,Complexity of real-world situations that present multiple interacting causes and responses.,Organizational inability to take appropriate action once needed action is clear.,Conflicting interests among stakeholders as to best course of action.,Conflicts among parties desiring different roles or outcomes,"Difficulties in resourcing resulting programs, including necessity of long-term management and monitoring requirements.",5,"Where to undertake a specific kind of conservation activity; how to prevent loss of intact ecosystem areas and functions (in my view mitigation does not work), how to find funding sufficient to achieve a goal.","My primary concern is preventing further biodiversity loss in areas already affected by human activity. That's the primary goal, coupled with maintaining or enhancing the ability of ecosystems to function and provide services. I try to see how protected areas and non-protected areas can function together as whole landscapes.",Yes,No,GIS maps of ecological corridors created with circuitscape,3,About half the time,About half the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Always,Always,Most of the time,Always,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,"Additional resources for monitoring, analytical study, stakeholder engagement and relationship-building","Non-government agency (e.g., Nature Conservancy Canada, Ducks Unlimited Canada)",,over 10 years,No,,Ontario,,"Good luck!
 An important issue.",26950
44913.3,44913.3,IP Address,5,37,FALSE,44927.3,R_2949xqWmFOxcLbG,anonymous,EN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44929.27,44929.28,IP Address,100,1448,TRUE,44929.28,R_bQu4ZSadJYnrXrP,anonymous,EN,Yes,Policy changes which could affect projects mid-planning or shift priorities,Funding to implement projects,Funding for monitoring and adaptive management,Impacts of invasive species,"Availability and continuity of passionate, well-informed, capable staff",5,"I work in ecological restoration, our decisions include where to locate projects and what kind of restoration work to prioritize (wetland, stream, riparian, forest, meadow).",My work is guided by both my organization's mandate (as a conservation authority) and to a lesser extent provincial policy. Our goals for projects are often set based on the funding source and the funders' requirements.,No,,,3,Most of the time,About half the time,Most of the time,About half the time,About half the time,Sometimes,Sometimes,Sometimes,About half the time,Most of the time,Most of the time,About half the time,Most of the time,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Longer timeframes for funding (i.e. ongoing funding for types of work instead of funding targeted only to specific projects),Conservation authority,,1 - 2 years,No,,Ontario,,,94069
44929.28,44929.29,IP Address,100,1369,TRUE,44929.29,R_1IQ8u5X5BTJ3Mko,anonymous,EN,Yes,politics,invasive species and diseases,climate change,ambiguity of regulations and guidelines,lack of monitoring to confirm if restoration fulfilled design goals,5,"Determining which areas are have natural heritage significance and should be maintained, enhanced, restored or replicated on the landscape.","Conservation Authorities Act, Planning Act, Greenbelt Plan/Act, Growth Plan, Niagara Escarpment Plan/Act, Class Environmental Assessments",Yes,Yes,"Natural Heritage Reference Manual (2010), Significant Wildlife Habitat Criteria Schedules (2015), guidance in official plans with regards to natural heritage systems",4,About half the time,Most of the time,About half the time,Sometimes,Most of the time,Sometimes,Most of the time,About half the time,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,"updated guidelines and clearer definitions of natural heritage features so that there's less ambiguity, political involvement and discretionary decision making",Conservation authority,,5 - 10 years,No,,Ontario,,"Help create tools and better definition terms that have legal ramifications and can be held up in court (i.e., the Ontario Land Tribunal).",17853
44929.37,44929.38,IP Address,100,769,TRUE,44929.38,R_1FkQzg86ZvQ9mdv,anonymous,EN,Yes,Funding,Policy Changes- revisions to existing policies in place,Party changes (government)- bringing different political viewpoints and opposing viewpoints,Knowledge gaps- individuals trained in areas of expertise required,Human resources- limited in some areas of forestry and forest conservation,5,"Tree seed movements under a changing climate, given current capacity challenges. How to prioritize general awareness with action oriented work to support practitioners.","Internal strategic documents developed by volunteer board members and general membership in the conservation and forestry sector. Sector market drivers, existing policies and climate change research.",No,,,5,Most of the time,About half the time,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,About half the time,Most of the time,Sometimes,About half the time,Neither agree nor disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Improved transparency at the government level. Increased access to funding opportunities for environmental not for profit organizations.,"Non-government agency (e.g., Nature Conservancy Canada, Ducks Unlimited Canada)",,3 - 5 years,No,,Ontario,,,94318
44915.51,44915.52,IP Address,14,1253,FALSE,44929.52,R_1dM17P4jeYYAnJM,anonymous,EN,Yes,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11681
44915.7,44929.61,IP Address,100,1202236,TRUE,44929.61,R_10VlUARWxbvzTpp,anonymous,EN,Yes,Organisational,Implementation,Process,Modelling,Measurement,5,Fisheries harvest,Ministerial mandate letters. Manitoba Fisheries Act. Fisheries Act of Canada.,Yes,Yes,"Among Manitoba's commercial fisheries, we are moving to knowledge and management consistent with third party sustainable harvest certification, so Marine Stewardship Council's standard and Seafood Watch criteria are used.",3,About half the time,About half the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,About half the time,About half the time,Sometimes,About half the time,Most of the time,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"More time and resources would reduce uncertainty in the areas I can control; modelling and measurement of process. Among the things out of my control (organizational and implementation), shorter hierarchy and senior bureaucrats who understand the subject matter better would support more clearly defined objectives and reduced uncertainty.",Canadian provincial or territorial government agency,,over 10 years,No,,Manitoba,,,16375
44929.48,44929.63,IP Address,100,12566,TRUE,44929.63,R_sGser2wq4Gz3SAp,anonymous,EN,Yes,political uncertainty,scientific uncertainty,,,,2,Determine whether an adverse effect has occurred. Recommendations on what mitigative actions are needed to rectify it. Monitor status and trends in ecological data to determine if government policies and regulations are effective.,Environmental Protection and Enhancement Act. Oil Sands Monitoring Regulations. Oil Sands Operational Framework Agreement. Alberta Wetland Policy.,Yes,Yes,ABWRET-A tool in support of Alberta Wetland Policy,4,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,About half the time,About half the time,About half the time,About half the time,Agree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,More published guidance and directives. Earlier funding decisions.,Canadian provincial or territorial government agency,,over 10 years,Yes,Statistical courses. Risk management courses.,Alberta,,,12287
44915.63,44915.63,IP Address,5,28,FALSE,44929.63,R_1BVPpI5UypmVi0g,anonymous,EN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44929.63,44929.64,IP Address,100,764,TRUE,44929.64,R_DnLfQVd92ezvbk5,anonymous,EN,Yes,understanding relative risk levels (economic versus ecological).,are the correct factors considered in the decision support system (model)?,accuracy/precision of data used in decision,,,3,"provide risk level to ecological value to decision maker (as a scientist I am not the decision maker). Is change/risk within natural range or beyond natural range? If beyond natural range, does it compromise long term integrity of value?",Provincial forestry legislation (Forests Act),Yes,Yes,Wildlife habitat models; natural range of variation model (forests),2,Sometimes,Sometimes,Always,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Not sure as uncertainty is likely always to remain a factor. We just need to be able to document where the uncertainty exists so that the decision maker understands the assumptions made in the presence of uncertainty,Canadian provincial or territorial government agency,,over 10 years,No,,Alberta,,,16884
44915.64,44915.64,IP Address,14,374,FALSE,44929.64,R_3EcY7TWVbB0C4m0,anonymous,EN,Yes,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42576
44915.33,44915.7,IP Address,14,32463,FALSE,44929.7,R_exlMxxUBgxjVW3n,anonymous,EN,Yes,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19261
