ID,language,q1_rank,q1_text,q2_rank,q2_text,q3_rank,q3_text,q4_rank,q4_text,q5_rank,q5_text
R_2CiYn054MwypJ5m,EN,4,Design information provided by engineers or proponents,3,Information available about the natural world (pre-existing conditions),2,Projects that have already occurred in the area (cumulative impacts),5,Lack of expertise in survey techniques and/or understanding of science that has been completed,1,Understanding of how construction will be undertaken
R_2S67c2uvsGJt12j,EN,,,,,,,,,,
R_2aLiFi26IaxFF0b,EN,,,,,,,,,,
R_3M3DGVOA0prufhk,EN,,,,,,,,,,
R_XKU0IHCIIy0s4U1,EN,,,,,,,,,,
R_3JrWGurGaQLCDt7,EN,,,,,,,,,,
R_1dgobPk7pECZDAn,EN,,,,,,,,,,
R_1IKuLMnvbaAJhlL,EN,,,,,,,,,,
R_WC0q1bTDgo1Ewff,EN,,,,,,,,,,
R_SAGe44KXaASOUX7,EN,,,,,,,,,,
R_3jBzXegnoPgMP0l,EN,,,,,,,,,,
R_7P9PvuKsHOY1FaV,EN,,,,,,,,,,
R_2dXTN8KWLete40q,EN,,,,,,,,,,
R_1Dr76SRtocIqzpx,EN,,,,,,,,,,
R_2WvcalpZINxfI7M,EN,1,natural variation in the field results we collect.,2,short data collection timelines (collecting info may not occur over a long enough timeframe)  Often just a constraint imposed by project owners.,3,"regulatory processes / assessment outcomes (sometimes related to timeline, somethimes related to what may be agreed to or approved)",,,,
R_1M57kNa3VqxZVWQ,EN,1,Regulatory requirements - regulatory agencies are vague in expectations opting to provide vague answers to question to ensure they are not perceived to be directing you and retain the ability to lay charges if an infraction occurs. ,2,"Often there is a lack of information of the ecosystem, resources don't exist to gather the information to make an informed decision or there's a lack of access to the scientific literature without paying large fees.  ",3,Political will. As government's change so does political will to protect the environment. Always a challenge to navigate federal and provincial politics (I'm a government ecologist),,,,
R_24dEWJxJuZ0CAAP,EN,,,,,,,,,,
R_117sl1iaIzJZGbj,EN,,,,,,,,,,
R_2X6d7OE1nnyasYV,EN,,,,,,,,,,
R_1Le4ii97L8jh6Ij,EN,,,,,,,,,,
R_ZsoteyowAyPinIt,EN,,,,,,,,,,
R_RbgjpTb2kjqbbuF,EN,,,,,,,,,,
R_3dETFLWwkA6PyJL,EN,,,,,,,,,,
R_AjlW2MY8H8YeEo1,EN,,,,,,,,,,
R_SB6dcJZIST2LAnn,EN,,,,,,,,,,
R_2THU30oGpIOIKCT,EN,1,Nature,2,Political will,3,Public/community perception,,,,
R_3njCUVX96t7QVnC,EN,,,,,,,,,,
R_32IMTWmf1LkfG7J,EN,,,,,,,,,,
R_2THr8iyMo9yHj5C,EN,,,,,,,,,,
R_77AiaWi1gYx3FAJ,EN,1,Long term funding,2,Political support,4,Using best available science,3,Support from the public,,
R_1ovFhzDhvXIU4it,EN,,,,,,,,,,
R_WcXZiUorpXJRTWh,EN,,,,,,,,,,
R_8pko8EhBvk4gDyF,EN,,,,,,,,,,
R_uxICyG4oXtXCUkF,EN,,,,,,,,,,
R_2YFLeoKkChsavYW,EN,,,,,,,,,,
R_1DBXhJqy0WuAvXi,EN,,,,,,,,,,
R_24ozFvrJ19aCnWi,EN,,,,,,,,,,
R_3egbN7mQ7kXLDxl,EN,,,,,,,,,,
R_22CVnL4We644IM7,EN,,,,,,,,,,
R_rlPGi3V78F7Uayd,EN,,,,,,,,,,
R_1pm4RdNVTFq12w2,EN,1,Weather,2,Funding sources ,3,Appropriate resources lacking ,4,Climate change,5,Stakeholder buy-in
R_2dGvQ0ZkZHTm5hH,EN,,,,,,,,,,
R_1GV9AuPhJSF78Ta,EN,,,,,,,,,,
R_1H2eADqZfKqTAx7,EN,,,,,,,,,,
R_DcNOGPwRSvbUclH,EN,4,Ethics,3,Accountability,5,Responsibility,1,Client pressures,2,Methodology
R_11ZLsfwgZ6maCqC,EN,1,Secure funding,2,"Cooperation between ""competing"" conservation organizations and individuals",3,animosity in the workplace,4,redundancy ,5,disagreement which is not discussed but instead cut off or ignored
R_3HRfDntkk8dFoyQ,EN,1,Sampling bias,2,Lack of enough information about species behaviour,3,Climatic and environmental variability from year to year,,,,
R_ZjKFawYqG0uLGwN,EN,,,,,,,,,,
R_3j6hheM9n8EqZyn,EN,,,,,,,,,,
R_1Q5fb41KVCEClZj,EN,,,,,,,,,,
R_3CHI80L82xmxe3X,EN,,,,,,,,,,
R_1R2WqhHIZae8cvL,EN,,,,,,,,,,
R_3iKcq2nhZW6KBZY,EN,1,"The lack of communications and collaboration between different levels of government ( Regional, Provincial, Federal). ",2,Climate change,3,First nation agreements,4,Poor data quality from certified but unexperienced field staff,5,Funding.
R_3Euk2nygqLKofQ6,EN,,,,,,,,,,
R_1QJYcPfjcuUeiim,EN,1,Funding availability - short term,2,Funding availability - long term (5+ yrs),3,Political climate/will ,4,"Availability of resources (people, equipment, time) ",5,"Lack of relevant studies to base our decisions on, unclear goals"
R_1PYTs6vKaeMxfgW,EN,,,,,,,,,,
R_2xSg138WA0Sr1tx,EN,,,,,,,,,,
R_2Pc06TeO22jTmUj,EN,,,,,,,,,,
R_3h53Njl5SauHkpS,EN,,,,,,,,,,
R_2PvDztt7XMMRTY1,EN,1,Political decisions regarding conservation being made based upon social/political vs scientific reasoning.,,,,,,,,
R_3Ny2yb0JRqmu1Pz,EN,,,,,,,,,,
R_3exDJZolPbDcUsz,EN,1,Available funding,3,Future habitat condition due to the effects of climate change,2,Future habtat condition due to the effects of human landscape modification/development/resource extraction,4,Future viability of target species (will our effort be worthwhile or is it destined to fail),5,With the potential for catastrophic habitat effects of anthropogenic influences will any of this matter.
R_3PSGa2PrBzls3hs,EN,,,,,,,,,,
R_0B7lVLZOH3bsloJ,EN,1,Lack of population estimates generated by formal survey efforts for Saskatchewan's elk herds based,2,Lack of an understanding of the magnitude and scope of habitat change in Saskatchewan. ,4,unknowns related to the impact of a changing climate on wildlife ecology,3,political decisions that override science-based recommendations.,,
R_a4YcU7AE8TwnJ9T,EN,,,,,,,,,,
R_3Rl5upPl6pTBcyU,EN,1,Constantly changing political landscape and priorities.  What's important one month may not be the next.  Funding tend to follow priority,2,Funding.  Available funds fluctuate dramatically making long term projects challenging.  See #1.,3,Conflicting science or opinions from researchers.,4,"Conflicting needs for species specific actions.  One species might needs tall grass, another species might need short grass",,
R_1dHyKgAsdFSdb2k,EN,,,,,,,,,,
R_4VK5rEJJwkylGXn,EN,1,Data deficiency - difficulty of obtaining and maintaining sufficient records to make informed decisions for managing all species of conservation concern in jurisdiction,2,"political and social support for conservation measures - accounting for implications of conservation plans on human environment, and support for those plans to ensure implementation and success",3,Uncertainty related to effectiveness of decisions - need for follow up (though depending on the species/ conservation action - outcomes may not be clear for a long time. Long-term planning to follow up is required. Staff turnover is a potential issue. ,4,"Changing conditions - extreme climate events, shifting species ranges, invasive species, disease - all make planning uncertain",,
R_2Cl8VD1pGovodV5,EN,,,,,,,,,,
R_88KIMttuWU8RjZn,EN,,,,,,,,,,
R_2e38Az7F7seOMe3,EN,,,,,,,,,,
R_122L1GWsbWOtjZP,EN,,,,,,,,,,
R_1NFxmOxXyls8Pan,EN,1,Funding and capacity,2,Most current science,3,Long-term public engagement,4,Effectiveness of efforts,,
R_20YcUtahDsJVFEj,EN,2,funding,4,ecology of the species,1,approval from superiors (political influence),3,people resources to carry out the work,,
R_3QGbE136YJr0Rax,EN,,,,,,,,,,
R_sLtPrmuiiJwDaE1,EN,1,Lack of data when assessing baseline conditions to predict impacts,2,Timelines that often don't align with required times to produce quality data that will lead to certainty,,,,,,
R_1prtrAsnUefFN8A,EN,,,,,,,,,,
R_0PnlaitA7rnVyc9,EN,,,,,,,,,,
R_3MmPvY0582N9KUh,EN,,,,,,,,,,
R_sbRf9UlFOIciEdb,EN,,,,,,,,,,
R_1PZwJbx3LvTJIk5,EN,,,,,,,,,,
R_1q36WIZc6YWTWmj,EN,,,,,,,,,,
R_1fd5En1c4Zt9X2O,EN,4,Funding capacity,2,"Political willingness, constantly changing leaders with new mandates",3,ability to do projects long term and have meaningful impacts,5,staff capacity to undertake projects,1,conservation being prioritized ahead of economics
R_1LMb4dV0tH4Z99F,EN,,,,,,,,,,
R_AbwkQlpCHtYbcnT,EN,,,,,,,,,,
R_3iPhRXbvzdcYyEs,EN,,,,,,,,,,
R_24Bn1aoqXVfDjk6,EN,,,,,,,,,,
R_2BA7ijmy6zEQ5XI,EN,,,,,,,,,,
R_2ztF2yblJo7w2dA,EN,,,,,,,,,,
R_1jy3IblRrNPh5IT,EN,,,,,,,,,,
R_szD1JjjvBkJ62HL,EN,,,,,,,,,,
R_2ScsEzRBalBrtSh,EN,,,,,,,,,,
R_1lyojhDjeQXfe90,EN,1,if the sample size we can budget is adequate to detect status and trends,,,,,,,,
R_pawg1Dv2eZ4eLp7,EN,,,,,,,,,,
R_1loz4zWkOhg8tzO,EN,,,,,,,,,,
R_1mCV7dFJpoNi1GP,EN,1,Risk Management decision framework being implemented ,,,,,,,,
R_1n8ZXBdbzovV86X,EN,1,"Stakeholder approvals - these are permissions required for lands that are not ours, that can heavily influence the decision of our efforts.",2,"Funding year to year - this is uncertain because of competing priorities within our organization, and funding for one project may be pulled at any time to fund a higher-priority project",,,,,,
R_1kTYCYR0dKEhgCO,EN,,,,,,,,,,
R_1IAcsYmn9QrIoTm,EN,,,,,,,,,,
R_1dGmdmgL7s1aoxv,EN,3,climate change effects,1,community opinion,2,future funding,,,,
R_Dkr0wjo6WuBbWbT,EN,1,Funding,2,Public Uptake,3,Personnel Capacity,,,,
R_3NEXCXHqk5fKP1I,EN,1,Weather. Extreme weather limits opportunities to be engaging in conservation work.,2,Funding. Funding opportunities are competitive and often insufficient.,3,Capacity: personnel and experience are challenging to coordinate for some projects.,,,,
R_1CvFBXcVMfHfePZ,EN,1,Uncertainty surrounding the source of impact/contamination on a waterbody.,3,Uncertainty surrounding natural/baseline environmental conditions.,2,Uncertainty surrounding sustainability of funding.,,,,
R_ZvCK7j2tKL75YWt,EN,,,,,,,,,,
R_b2YJAuGsBL5pcuB,EN,1,"Legislation, Funding, political party in power, will programs continue? ",2,"Societal ""Buy-in"" - will the majority agree with what we are doing ",3,Scientific community buy in,4,Species presence ,5,Habitat use/function
R_eERPUo6p049boc1,EN,,,,,,,,,,
R_2Y4gCuiSp3pUmf1,EN,1,data availability and data gaps,,,,,,,,
R_DTsZTAcJMG22mk1,EN,,,,,,,,,,
R_3RmcZUv1bll5H5q,EN,,,,,,,,,,
R_1LHH4hwSzWE9p7v,EN,1,funding,3,"environmental conditions (stream flow, precipitation, etc.) and if/how that will impact restoration works",4,length of time for permits to be reviewed (for restoration work),2,"how our restoration work will be treated by other land users (will it be vandalized, will there be enforcement, will people complain about it)",,
R_2bVhj1s0FkKHsSp,EN,,,,,,,,,,
R_3nwKmxXNH5TYy8j,EN,2,Political arena,1,Dynamic natural processes ,4,Funding availability ,3,Competing human interests ,5,Effective communications 
R_1ODcPuhdTgFl8L1,EN,,,,,,,,,,
R_1QENWBBrsDH4iLr,EN,,,,,,,,,,
R_2PilBer89hi235E,EN,,,,,,,,,,
R_3pu6xwaqmuai6Ez,EN,,,,,,,,,,
R_21526pDCytjYJaF,EN,,,,,,,,,,
R_Au0wSlSdwaRuhnb,EN,,,,,,,,,,
R_OoD8joK5mSxQyhH,EN,,,,,,,,,,
R_2PeggK9gKx8NQdr,EN,,,,,,,,,,
R_1gCS0pAWLpTTBOe,EN,,,,,,,,,,
R_1BPMZaHnG6nYLsK,EN,,,,,,,,,,
R_1reH8ajgkecvObw,EN,,,,,,,,,,
R_1kYtYnyk5fkdrha,EN,,,,,,,,,,
R_AsXy1WvZ5swamSB,EN,1,Financial/Job Security,2,Political,,,,,,
R_C7HOTszDS5a52eZ,EN,,,,,,,,,,
R_2tcewv8tf4GoZYj,EN,,,,,,,,,,
R_4VlW3luwaj9kKbf,EN,1,Policies,3,Data,2,Science,4,Thresholds,,
R_25Y4i2eIxExZl5Z,EN,,,,,,,,,,
R_A5PdL1Ysc2LIUhP,EN,,,,,,,,,,
R_3Ol7CDsiHtWVqaW,EN,,,,,,,,,,
R_2v6xbi48LnLkvBC,EN,1,"Lack of appropriate prediction methods for impact prediction of proposed development projects in EIA, e.g., about the effect of a new road on wildlife populations in the area. ",2,"Lack of knowledge about the thresholds in population persistence in response to road density (EEA & FOEN 2011: Landscape Fragmentation in Europe, pages 12-15 and 58-60). ",3,Lack of knowledge of the response times of wildlife populations to the construction of new roads. ,,,,
R_2ctFXmYCTBxdMWM,EN,,,,,,,,,,
R_2scZxWoUJEE0kIZ,EN,,,,,,,,,,
R_2A0XUCzSY6SIG0C,EN,,,,,,,,,,
R_3Ra4JHjrZ7xfr15,EN,,,,,,,,,,
R_2cdrmnEc50AqzfE,EN,,,,,,,,,,
R_30eNdgPxZrXjP8V,EN,1,"The biological benefits (biodiversity, carbon sequestration) of conserving areas that are not well studied",2,The willingness of conservation partners to conserve areas permanently,3,The future state of biodiversity and habitats in current protected areas,4,The permanence of current funding mechanisms at the federal level,5,Political climate
R_2VISAkLTSKR8iKo,EN,,,,,,,,,,
R_4TLQnVvUBLkYWZj,EN,,,,,,,,,,
R_4SktxiVvR4gDOff,EN,,,,,,,,,,
R_3HnvNlbaF32PfRV,EN,1,"lack of specific, area based knowledge",2,complexity of nature - interactions and unintended consequences,3,Insufiecient effort put into collecting required data - ruled by budgets rather than quality data needs,,,,
R_pcM7stPtfgUDvDb,EN,1,Lack of information / data,2,Disagreement among experts,,,,,,
R_3MaFaF6HIuQ4ZdZ,EN,,,,,,,,,,
R_2E6NRQEnRtcRav3,EN,,,,,,,,,,
R_1AIi1Gc7cpf31y9,EN,,,,,,,,,,
R_1nW6cwNz2RUrQn7,EN,,,,,,,,,,
R_3fH0LMbOtV3wE8p,EN,4,"Uncertainty in the conservation status of a species (e.g., population trend, distribution, abundance)",2,Uncertainty in the threats that are most strongly affecting the conservation status of a species,3,Uncertainty in the most effective conservation actions to address those threats,1,Uncertainty in how to implement those actions in a socio-economic context,,
R_2YGjZnuKFOPmd0E,EN,1,,,,,,,,,
R_10U9sGnefE5kWdw,EN,1,Weather and climate impacts on outcome of conservation action,2,Social and political acceptance of conservation action,3,Funding sources and sustainability of conservation actions,4,Accessibility to resources to conduct conservation action,,
R_2OHDr7DkXN9IqT4,EN,,,,,,,,,,
R_1LaFBtDkx85VdLz,EN,,,,,,,,,,
R_2ruuQKytAgUQJJV,EN,,,,,,,,,,
R_3L7LWE9hzThU2Bi,EN,1,Policy- the lack of adequate government policy leaves a gap in responsibility. It is unclear who's reponsibility it is to ensure the correct steps are taken,2,"Research- lack of data and modelling to forecast outcomes, leaves decision making a blind process",3,Funding- in consistent funding does not allow for mulit-year projects,4,Lack of communication between government agencies- issues such as permitting arise when protocols do not follow the legal requirements of other agencies,,
R_zdUkZLUhlwg3BGp,EN,,,,,,,,,,
R_3fZC20yhPedEXgK,EN,,,,,,,,,,
R_3gNI1qR2iRphFMo,EN,,,,,,,,,,
R_2CD2fs8HcaTsqPl,EN,,,,,,,,,,
R_10CNekGZVpWQM8B,EN,,,,,,,,,,
R_11ayhoy68bgEGWD,EN,,,,,,,,,,
R_3EuIu9dOhj83EtR,EN,,,,,,,,,,
R_oY5EVzlDYL5bMxH,EN,1,Community attitudes towards conservation/Land access for surveys,2,Accuracy and precision of information on SAR occurrences and their habitat,,,,,,
R_2DY0mAI9fHWrmfl,EN,,,,,,,,,,
R_31yhHPNUktMo8wL,EN,,,,,,,,,,
R_sNKTyVcrHurPevL,EN,1,Ontario government,2,local governments,3,private habitat destruction wonks,4,climate change,,
R_BKDPsnaDPwmKXTj,EN,,,,,,,,,,
R_2zprKCl6BOQUtJ7,EN,1,"Regulation performance. Implementing a fisheries management action (e.g., change to size limit, quota, season, etc.) and whether there is a measurable effect.",2,"Angler behaviour. Often times, behaviour and social dynamics are not prioritized in fisheries management. They can be major unknowns.",3,"Complex food web interactions, particularly at lower trophic levels, and the associated changes within ecological communities. Especially as it related to introductions of unwanted species (e.g., AIS)",4,"Fisheries models. There is a huge reliance on models for managing fisheries but they are not without significant assumptions, limitations, unknowns, uncertainties, etc.",5,Climate change and the associated impacts on fisheries.
R_2dYfRYclOYVFBPy,EN,1,Political Interference with Legislation/Regulations,2,Municipal Interference with administering the Legislation/Regulations,3,Private landowners undertaking works that go against the Legislation/Regulations,4,Lack of interest by the general public ,5,job certainity
R_1gHhZgXGJWSQDZp,EN,1,Funding availability,2,Climate Change,3,Conflicting research on best practices,,,,
R_6rkiw0fOp4ihcch,EN,1,Lack of background data to inform risks with decision making. ,2,Questionable data and conclusions from consulting biologists/ecologists. ,3,Lack of long term monitoring data to understand how previous decisions have achieved (or not) their intended outcomes. ,,,,
R_1dK6XI6UN7E7pql,EN,1,Political Decision Making,2,Trust (i.e. scope of project is not fully divulged when seeking approvals),3,Longevity (i.e. ownership changes happening prior to naturalization project being completed),,,,
R_8rdsjjFhmZ4F2pj,EN,1,Legislation (eg. Bill 23),2,Political pressures,3,social pressures,4,financial resources,,
R_2anwvNdmELwPzul,EN,1,Provincial government direction,2,policy interpretation by multiple agencies,3,Lack of scientific case studies (restoration),4,natural process change due to climate change,,
R_2UfLjDUM24LuVM2,EN,5,ambiguity ,4,missing information ,3,unreliable information ,,,,
R_3kGT9zPKMZTwAHL,EN,1,lack of current site specific data,2,requirements of long term management support,3,implementation costs,4,impacts of climate change,5,impacts/interactions with invasive species
R_1etPw64xkxrfXvk,EN,1,Species presence or absense in project area,5,Potential benefit of implementing BMP for impacted species,2,Potential harm of implementing BMP for non-target species,3,"Shared understanding of mitigation measures (e.g., are proponents and regulators thinking of the same thing)? ",4,Whether or not mitigations will be implemented? 
R_1kYoiJYPA4dAygY,EN,3,Defining success for restoration/compensation projects,2,Understanding the direct impact of threats and stressors on aquatic ecosystems,2,The linkage between science that leads to effective policy,1,setting thresholds of impairment that are recognized by industry (i.e. setbacks to streams),,
R_1Q3NtNzZI3Id30P,EN,1,Funding arriving to get the work done in time (e.g. federal funding being received in fall (when field work needs done in the summer),2,Ongoing funding will be available to support important work,,,,,,
R_3lLVal4E8PSZbGm,EN,1,Problem/ situational data: Sufficient data around a conservation issue may be lacking ,2,Management data: Sufficient data around the impacts/ efficacy of a management action may be lacking,3,Timescale: Existing data may be limited to certain timescales; long-term data may be lacking,4,"Source: Existing data may be limited to a few or a single source, creating uncertainties around bias",5,Societal reaction: Uncertainties around the social acceptability of management actions
R_sG6zzDgc8hW2lUJ,EN,1,Not enough data/history,2,Complex systems/Influencing factors,3,Future funding security,4,Changing government priorities,,
R_2dHmEzR1eegxpEN,EN,1,The sources of revenue for the programs and projects I want to maintain or initiate.,4,Climate change and how the conservation projects we implement will be impacted long-term.,2,The provincial government and new regulations they enact. How those regulations will impact the work I can do. Case in point: Bill 23.,3,Public support for the conservation programs and projects I want to maintain or initiate.,5,Capacity at my organization to carry out the work and my own capacity to successfully complete the work.
R_1PRyuFFW5m9Fns5,EN,1,"Provincial Government - uncertainty on the level of support from provincial government, in addition to having roles and responsibilities revoked from the conservation authority (see Bill 23).",2,Climate Change - uncertain how our regional area will be affected and the actions we need to make to protect against rapid change may not align with existing policies and regulations.,3,"Private Landowner Stewardship - as much of the land in the area is privately owned (mostly agriculture), the responsibility to protect and conserve natural features ultimately come down to landowner decisions. ",,,,
R_agSUPTrcGGzP0jf,EN,1,Natural variability in natural systems ,2,"Cumulative effects, particularly of large stressors. Uncertainty on how they will all interact",3,Uncertainty about effectiveness of management interventions,4,"Variability in our understanding or precision of our estimates of key indicators (e.g. abundance, mortality)",,
R_2v7lrDEI64GAq8W,EN,2,lack of government funding,1,government policies undermining environmental protection,,,,,,
R_1GN9ycNIFhxKNTY,EN,1,insufficient data relating to the question (i.e. species abundance) ,2,political pressure,3,organizational mandates,4,how stakeholders will view the decision ,,
R_plMZgKcCNtukCRP,EN,1,Climate Change,2,Individual indifference,3,Corporate indifference,4,Funding,5,Poor management and decision making within environmental organizations
R_3D8hsajWCPlObn9,EN,1,Untried methods of management (unknown results),2,"A potential lack of funding (projects pending approval, etc.)",3,Daily weather conditions,4,Anticipated staffing changes (potential lack of available labour),,
R_1ohUOaNmizRwNqe,EN,,,,,,,,,,
R_x0px416H99yNws1,EN,1,Will there be funding available,3,What are the greatest threats to my conservation target,4,What is the best way to address the threats to my conservation target,2,Will there be public/political support for the conservation measures,,
R_1etqFzBJVP5lehE,EN,4,Uncertain about the cause of the system dysfunction due to complex interplay of potential causes....wicked problems.,3,"Uncertainty of whether we can get funding to do the work, even when we know what causes need to be ameliorated.",1,Regulators not understanding the science and technology being applied and either refusing to allow the work or delaying it until funding either expires or runs out.,2,Regulators treating restoration work the same way that they would treat development proposals....assuming damage rather than considering improvement.,5,Uncertainty with landowner willingness to allow conservation work on their property even when the major causes are occurring there.
R_RPQ4Hrt9pB5XbrP,EN,1,Funding to continue conducting species at risk research,2,"Ability to complete field work due to safety associated with weather conditions (i.e., heat)",3,Changing work deliverables based on species status,4,Ability to return to my position if I take another maternity leave when I am on contract,,
R_3lK3HfCgV1RaZAJ,EN,1,personal knowledge,3,ethics,2,science,4,social stigma,,
R_vq3tfGzpMtq2KCB,EN,,,,,,,,,,
R_1CltpnrJHwMNR5P,EN,1,Lack of data,2,Outdated sources of information,3,Lack of research on a given topic of conservation,4,Poor data  or unreliable sources of data or data collection,,
R_Wrm88AX3FNm26Ln,EN,1,Political will to move forward with decisions,2,Availability of resources to support actions,3,"Likelihood of support from land managers, public, stakeholders",,,,
R_2ZHKZkJkCQmhe3n,EN,,,,,,,,,,
R_12QCjY2eR6SKcb2,EN,,,,,,,,,,
R_1oItFBsX69CPsPA,EN,,,,,,,,,,
R_25Y2ZAL0hZ3fEzR,EN,,,,,,,,,,
R_PuLGlCUD5uHpO3n,EN,,,,,,,,,,
R_33wkOz87nfzQpiw,EN,1,Uncertainty related to funding,2,"Uncertainty related to landowner decision regarding specific conservation option, eg. purchase, donation, conservation easement",3,Uncertainty related to the real estate market conditions,4,Uncertainty related to identifying and securing adequate human resources to deliver intended results,,
R_210WHAGojrdE2Ao,EN,,,,,,,,,,
R_21ccYEn0DblKAwn,EN,,,,,,,,,,
R_psKRLE3NZHMlBlv,EN,,,,,,,,,,
R_3O2Nq7mQ1UpbYMz,EN,,,,,,,,,,
R_3KDtpOvDL3u0MVD,EN,,,,,,,,,,
R_2e9Emox1K3j2K0L,EN,,,,,,,,,,
R_1r7Ah4lQ6TiZHZi,EN,,,,,,,,,,
R_AEBJbbW6qehPGUh,EN,,,,,,,,,,
R_2yl5hTqiAU5nxXf,EN,,,,,,,,,,
R_78m7u6HOoss34u5,EN,,,,,,,,,,
R_2TFqxQ9MeVkMbeo,EN,,,,,,,,,,
R_111unqzqBV01YeG,EN,,,,,,,,,,
R_32ILB8am2Lb4vU8,EN,,,,,,,,,,
R_21bMEcwdWNG7IGn,EN,,,,,,,,,,
R_2agb6zWPxteYUjt,EN,,,,,,,,,,
R_3dExMvp5FhDZRel,EN,,,,,,,,,,
R_332tQyRRolWG203,EN,,,,,,,,,,
R_32Jd4RM8eCfTxTr,EN,,,,,,,,,,
R_2qjUEmvfQRlc8Ew,EN,,,,,,,,,,
R_WjkCF0XXB5QJGAF,EN,,,,,,,,,,
R_2sRaBgSW2T1f6ec,EN,,,,,,,,,,
R_vvGbdRpJ9RNt053,EN,,,,,,,,,,
R_22oduPMpmzf8AgV,EN,,,,,,,,,,
R_Ck8bRe5um9DAqPf,EN,1,Political,2,Data,3,Complexity of natural world (truly understanding the component parts of the its systems),,,,
R_wQLilZPseeVtcwF,EN,,,,,,,,,,
R_2PvUjIqOPEhjFdx,EN,,,,,,,,,,
R_1PTA0edvwROBMw4,EN,,,,,,,,,,
R_3iqWEMHLB7Xf3PF,EN,,,,,,,,,,
R_0TlncEJ1Nk7GSyd,EN,,,,,,,,,,
R_2SrFal7UM5hmrFh,EN,,,,,,,,,,
R_1I6kFiiyhSwunf0,EN,,,,,,,,,,
R_1mt9jyH0XOsmeMl,EN,,,,,,,,,,
R_1OrVgWyQOQyqsAm,EN,,,,,,,,,,
R_1q7ZwJblZwv2rVE,EN,,,,,,,,,,
R_ULusXjpn2DY0UYV,EN,,,,,,,,,,
R_27OGHE1B0YGskS7,EN,,,,,,,,,,
R_XjFfDXuH4DxaqE9,EN,1,Availability of funding,2,Willingness of landowners to participate in restoration,,,,,,
R_1gtP8aeztypCRar,EN,,,,,,,,,,
R_3UwRAiTSqQIBLhf,EN,,,,,,,,,,
R_3lGLv3ALeVfhsz1,EN,,,,,,,,,,
R_29gqcMpp6KtfTAV,EN,,,,,,,,,,
R_PGtrxEcTTeH4sJr,EN,,,,,,,,,,
R_3rNZq7rOvCirI6l,EN,,,,,,,,,,
R_3RwLj2TEGr3KSvH,EN,,,,,,,,,,
R_pGkgbJuPNiW0D3b,EN,,,,,,,,,,
R_1Iz4uaD7Mn5Vb1B,EN,,,,,,,,,,
R_ON07HkhLPLU83o5,EN,,,,,,,,,,
R_1rrfJbsOR8iysr2,EN,,,,,,,,,,
R_239o70KtvCBdpXK,EN,,,,,,,,,,
R_3p4gBeOFYYCcrbt,EN,,,,,,,,,,
R_2R2COycU2sKCL94,EN,,,,,,,,,,
R_bxPJpeN42Xu5nyh,EN,,,,,,,,,,
R_2YLAFMMZfB10x9b,EN,,,,,,,,,,
R_1pt9CT37ZbrYpTn,EN,,,,,,,,,,
R_31vJhGyfhwV7d9F,EN,,,,,,,,,,
R_29ggiS6J9oyT9EH,EN,,,,,,,,,,
R_W074mJnaCHouVkl,EN,1,"Political drivers (i.e. MZO, municipal processes, government changes)",2,Impact to natural features and functions. ,3,Policy,4,"Acts and requirements of other agencies (i.e. MECP, DFO)",,
R_1IbjBTcPMUhCAYX,EN,,,,,,,,,,
R_3ftPnZ37TADWUlH,EN,,,,,,,,,,
